from_city;from_district;to_city;sum
ADANA;KARATAS;EDIRNE;28
ADANA;KARATAS;ELAZIG;22
ADANA;KARATAS;ERZINCAN;5
ADANA;KARATAS;ERZURUM;24
ADANA;KARATAS;ESKISEHIR;43
ADANA;KARATAS;GAZIANTEP;91
ADANA;KARATAS;GIRESUN;6
ADANA;KARATAS;GUMUSHANE;3
ADANA;KARATAS;HAKKARI;9
ADANA;KARATAS;HATAY;393
ADANA;KARATAS;IGDIR;2
ADANA;KARATAS;ISPARTA;19
ADANA;KARATAS;ISTANBUL;1570
ADANA;KARATAS;IZMIR;333
ADANA;KARATAS;KAHRAMANMARAS;84
ADANA;KARATAS;KARABUK;8
ADANA;KARATAS;KARAMAN;8
ADANA;KARATAS;KARS;9
ADANA;KARATAS;KASTAMONU;4
ADANA;KARATAS;KAYSERI;82
ADANA;KARATAS;KILIS;5
ADANA;KARATAS;KIRIKKALE;6
ADANA;KARATAS;KIRKLARELI;7
ADANA;KARATAS;KIRSEHIR;7
ADANA;KARATAS;KOCAELI;78
ADANA;KARATAS;KONYA;79
ADANA;KARATAS;KUTAHYA;18
ADANA;KARATAS;MALATYA;33
ADANA;KARATAS;MANISA;34
ADANA;KARATAS;MARDIN;28
ADANA;KARATAS;MERSIN;1256
ADANA;KARATAS;MUGLA;89
ADANA;KARATAS;MUS;4
ADANA;KARATAS;NEVSEHIR;6
ADANA;KARATAS;NIGDE;57
ADANA;KARATAS;ORDU;1
ADANA;KARATAS;OSMANIYE;127
ADANA;KARATAS;RIZE;1
ADANA;KARATAS;SAKARYA;23
ADANA;KARATAS;SAMSUN;23
ADANA;KARATAS;SANLIURFA;55
ADANA;KARATAS;SIIRT;11
ADANA;KARATAS;SINOP;6
ADANA;KARATAS;SIRNAK;11
ADANA;KARATAS;SIVAS;11
ADANA;KARATAS;TEKIRDAG;28
ADANA;KARATAS;TOKAT;11
ADANA;KARATAS;TRABZON;10
ADANA;KARATAS;TUNCELI;2
ADANA;KARATAS;USAK;4
ADANA;KARATAS;VAN;16
ADANA;KARATAS;YALOVA;19
ADANA;KARATAS;YOZGAT;23
ADANA;KARATAS;ZONGULDAK;29
ADANA;KOZAN;ADIYAMAN;87
ADANA;KOZAN;AFYONKARAHISAR;95
ADANA;KOZAN;AGRI;56
ADANA;KOZAN;AKSARAY;125
ADANA;KOZAN;AMASYA;32
ADANA;KOZAN;ANKARA;2156
ADANA;KOZAN;ANTALYA;1455
ADANA;KOZAN;ARDAHAN;22
ADANA;KOZAN;ARTVIN;27
ADANA;KOZAN;AYDIN;376
ADANA;KOZAN;BALIKESIR;198
ADANA;KOZAN;BARTIN;11
ADANA;KOZAN;BATMAN;143
ADANA;KOZAN;BAYBURT;16
ADANA;KOZAN;BILECIK;29
ADANA;KOZAN;BINGOL;108
ADANA;KOZAN;BITLIS;78
ADANA;KOZAN;BOLU;66
ADANA;KOZAN;BURDUR;65
ADANA;KOZAN;BURSA;472
ADANA;KOZAN;CANAKKALE;100
ADANA;KOZAN;CANKIRI;54
ADANA;KOZAN;CORUM;40
ADANA;KOZAN;DENIZLI;221
ADANA;KOZAN;DIYARBAKIR;187
ADANA;KOZAN;DUZCE;52
ADANA;KOZAN;EDIRNE;81
ADANA;KOZAN;ELAZIG;108
ADANA;KOZAN;ERZINCAN;39
ADANA;KOZAN;ERZURUM;153
ADANA;KOZAN;ESKISEHIR;196
ADANA;KOZAN;GAZIANTEP;521
ADANA;KOZAN;GIRESUN;36
ADANA;KOZAN;GUMUSHANE;16
ADANA;KOZAN;HAKKARI;42
ADANA;KOZAN;HATAY;1366
ADANA;KOZAN;IGDIR;12
ADANA;KOZAN;ISPARTA;103
ADANA;KOZAN;ISTANBUL;3529
ADANA;KOZAN;IZMIR;966
ADANA;KOZAN;KAHRAMANMARAS;656
ADANA;KOZAN;KARABUK;32
ADANA;KOZAN;KARAMAN;65
ADANA;KOZAN;KARS;62
ADANA;KOZAN;KASTAMONU;50
ADANA;KOZAN;KAYSERI;683
ADANA;KOZAN;KILIS;55
ADANA;KOZAN;KIRIKKALE;39
ADANA;KOZAN;KIRKLARELI;105
ADANA;KOZAN;KIRSEHIR;64
ADANA;KOZAN;KOCAELI;234
ADANA;KOZAN;KONYA;568
ADANA;KOZAN;KUTAHYA;76
ADANA;KOZAN;MALATYA;123
ADANA;KOZAN;MANISA;207
ADANA;KOZAN;MARDIN;268
ADANA;KOZAN;MERSIN;2798
ADANA;KOZAN;MUGLA;398
ADANA;KOZAN;MUS;50
ADANA;KOZAN;NEVSEHIR;90
ADANA;KOZAN;NIGDE;261
ADANA;KOZAN;ORDU;31
ADANA;KOZAN;OSMANIYE;1402
ADANA;KOZAN;RIZE;47
ADANA;KOZAN;SAKARYA;103
ADANA;KOZAN;SAMSUN;121
ADANA;KOZAN;SANLIURFA;284
ADANA;KOZAN;SIIRT;80
ADANA;KOZAN;SINOP;13
ADANA;KOZAN;SIRNAK;86
ADANA;KOZAN;SIVAS;81
ADANA;KOZAN;TEKIRDAG;152
ADANA;KOZAN;TOKAT;104
ADANA;KOZAN;TRABZON;91
ADANA;KOZAN;TUNCELI;62
ADANA;KOZAN;USAK;58
ADANA;KOZAN;VAN;77
ADANA;KOZAN;YALOVA;49
ADANA;KOZAN;YOZGAT;47
ADANA;KOZAN;ZONGULDAK;76
ADANA;POZANTI;ADIYAMAN;9
ADANA;POZANTI;AFYONKARAHISAR;52
ADANA;POZANTI;AGRI;10
ADANA;POZANTI;AKSARAY;152
ADANA;POZANTI;AMASYA;16
ADANA;POZANTI;ANKARA;378
ADANA;POZANTI;ANTALYA;316
ADANA;POZANTI;ARDAHAN;2
ADANA;POZANTI;ARTVIN;6
ADANA;POZANTI;AYDIN;136
ADANA;POZANTI;BALIKESIR;113
ADANA;POZANTI;BATMAN;9
ADANA;POZANTI;BILECIK;25
ADANA;POZANTI;BINGOL;6
ADANA;POZANTI;BITLIS;3
ADANA;POZANTI;BOLU;12
ADANA;POZANTI;BURDUR;25
ADANA;POZANTI;BURSA;220
ADANA;POZANTI;CANAKKALE;19
ADANA;POZANTI;CANKIRI;22
ADANA;POZANTI;CORUM;11
ADANA;POZANTI;DENIZLI;142
ADANA;POZANTI;DIYARBAKIR;33
ADANA;POZANTI;DUZCE;22
ADANA;POZANTI;EDIRNE;22
ADANA;POZANTI;ELAZIG;14
ADANA;POZANTI;ERZINCAN;8
ADANA;POZANTI;ERZURUM;17
ADANA;POZANTI;ESKISEHIR;53
ADANA;POZANTI;GAZIANTEP;110
ADANA;POZANTI;GIRESUN;8
ADANA;POZANTI;GUMUSHANE;2
ADANA;POZANTI;HAKKARI;8
ADANA;POZANTI;HATAY;201
ADANA;POZANTI;IGDIR;7
ADANA;POZANTI;ISPARTA;42
ADANA;POZANTI;ISTANBUL;649
ADANA;POZANTI;IZMIR;292
ADANA;POZANTI;KAHRAMANMARAS;105
ADANA;POZANTI;KARABUK;3
ADANA;POZANTI;KARAMAN;13
ADANA;POZANTI;KARS;3
ADANA;POZANTI;KASTAMONU;9
ADANA;POZANTI;KAYSERI;77
ADANA;POZANTI;KILIS;2
ADANA;POZANTI;KIRIKKALE;11
ADANA;POZANTI;KIRKLARELI;7
ADANA;POZANTI;KIRSEHIR;33
ADANA;POZANTI;KOCAELI;179
ADANA;POZANTI;KONYA;373
ADANA;POZANTI;KUTAHYA;50
ADANA;POZANTI;MALATYA;16
ADANA;POZANTI;MANISA;149
ADANA;POZANTI;MARDIN;26
ADANA;POZANTI;MERSIN;1286
ADANA;POZANTI;MUGLA;129
ADANA;POZANTI;MUS;6
ADANA;POZANTI;NEVSEHIR;22
ADANA;POZANTI;NIGDE;256
ADANA;POZANTI;ORDU;10
ADANA;POZANTI;OSMANIYE;62
ADANA;POZANTI;RIZE;2
ADANA;POZANTI;SAKARYA;124
ADANA;POZANTI;SAMSUN;28
ADANA;POZANTI;SANLIURFA;32
ADANA;POZANTI;SIIRT;7
ADANA;POZANTI;SIRNAK;15
ADANA;POZANTI;SIVAS;20
ADANA;POZANTI;TEKIRDAG;37
ADANA;POZANTI;TOKAT;18
ADANA;POZANTI;TRABZON;14
ADANA;POZANTI;TUNCELI;8
ADANA;POZANTI;USAK;95
ADANA;POZANTI;VAN;19
ADANA;POZANTI;YALOVA;31
ADANA;POZANTI;YOZGAT;25
ADANA;POZANTI;ZONGULDAK;50
ADANA;SAIMBEYLI;ADIYAMAN;13
ADANA;SAIMBEYLI;AFYONKARAHISAR;26
ADANA;SAIMBEYLI;AGRI;5
ADANA;SAIMBEYLI;AKSARAY;21
ADANA;SAIMBEYLI;AMASYA;11
ADANA;SAIMBEYLI;ANKARA;330
ADANA;SAIMBEYLI;ANTALYA;399
ADANA;SAIMBEYLI;ARDAHAN;2
ADANA;SAIMBEYLI;ARTVIN;4
ADANA;SAIMBEYLI;AYDIN;88
ADANA;SAIMBEYLI;BALIKESIR;12
ADANA;SAIMBEYLI;BARTIN;5
ADANA;SAIMBEYLI;BATMAN;11
ADANA;SAIMBEYLI;BAYBURT;4
ADANA;SAIMBEYLI;BILECIK;23
ADANA;SAIMBEYLI;BINGOL;18
ADANA;SAIMBEYLI;BITLIS;5
ADANA;SAIMBEYLI;BOLU;6
ADANA;SAIMBEYLI;BURDUR;14
ADANA;SAIMBEYLI;BURSA;71
ADANA;SAIMBEYLI;CANAKKALE;48
ADANA;SAIMBEYLI;CANKIRI;10
ADANA;SAIMBEYLI;CORUM;8
ADANA;SAIMBEYLI;DENIZLI;18
ADANA;SAIMBEYLI;DIYARBAKIR;24
ADANA;SAIMBEYLI;DUZCE;8
ADANA;SAIMBEYLI;EDIRNE;30
ADANA;SAIMBEYLI;ELAZIG;23
ADANA;SAIMBEYLI;ERZINCAN;15
ADANA;SAIMBEYLI;ERZURUM;40
ADANA;SAIMBEYLI;ESKISEHIR;33
ADANA;SAIMBEYLI;GAZIANTEP;105
ADANA;SAIMBEYLI;GIRESUN;9
ADANA;SAIMBEYLI;GUMUSHANE;6
ADANA;SAIMBEYLI;HAKKARI;5
ADANA;SAIMBEYLI;HATAY;297
ADANA;SAIMBEYLI;IGDIR;2
ADANA;SAIMBEYLI;ISPARTA;20
ADANA;SAIMBEYLI;ISTANBUL;666
ADANA;SAIMBEYLI;IZMIR;198
ADANA;SAIMBEYLI;KAHRAMANMARAS;153
ADANA;SAIMBEYLI;KARABUK;7
ADANA;SAIMBEYLI;KARAMAN;3
ADANA;SAIMBEYLI;KARS;9
ADANA;SAIMBEYLI;KASTAMONU;15
