address_city;address_district;count
BOLU;MUDURNU;15975
ANKARA;AKYURT;15973
BITLIS;MUTKI;15968
SIVAS;ZARA;15945
ERZURUM;ASKALE;15812
ANKARA;BALA;15804
KASTAMONU;ARAC;15749
USAK;SIVASLI;15723
BURDUR;GOLHISAR;15723
CANKIRI;YAPRAKLI;15684
YALOVA;ALTINOVA;15667
SAMSUN;AYVACIK/SAMSUN;15645
DENIZLI;KALE/DENIZLI;15644
ERZURUM;TEKMAN;15628
KASTAMONU;CIDE;15621
DIYARBAKIR;HANI;15561
IZMIR;GUZELBAHCE;15466
SAMSUN;KAVAK;15372
BILECIK;OSMANELI;15353
VAN;GEVAS;15326
DIYARBAKIR;LICE;15300
DENIZLI;CAMELI;15291
MUS;HASKOY;15281
KARS;SELIM;15278
KIRKLARELI;PINARHISAR;15276
ORDU;ULUBEY/ORDU;15195
AKSARAY;ESKIL;15174
BALIKESIR;SAVASTEPE;15167
YOZGAT;CAYIRALAN;15161
ERZURUM;TORTUM;14963
ARTVIN;SAVSAT;14875
BATMAN;BESIRI;14848
KIRIKKALE;KESKIN;14840
SIRNAK;ULUDERE;14789
AFYONKARAHISAR;SULTANDAGI;14740
IGDIR;TUZLUCA;14727
AFYONKARAHISAR;ISCEHISAR;14702
ADANA;KARATAS;14700
BATMAN;SASON;14679
BURDUR;YESILOVA;14639
ERZURUM;SENKAYA;14611
KARS;DIGOR;14597
KONYA;HUYUK;14560
CORUM;MECITOZU;14557
SIVAS;GURUN;14530
DUZCE;KAYNASLI;14420
SINOP;DURAGAN;14374
MALATYA;PUTURGE;14342
KUTAHYA;ALTINTAS;14253
HATAY;YAYLADAG;14250
BILECIK;SOGUT;14220
ARTVIN;ARHAVI;14210
ADIYAMAN;GERGER;14187
DUZCE;GOLYAKA;14172
AKSARAY;GULAGAC;13981
KIRSEHIR;MUCUR;13925
KAYSERI;INCESU;13859
ADANA;POZANTI;13853
OSMANIYE;BAHCE;13838
NEVSEHIR;DERINKUYU;13774
KARS;ARPACAY;13720
SIIRT;PERVARI;13715
SIIRT;BAYKAN;13681
SAMSUN;LADIK;13656
TUNCELI;MAZGIRT;13642
GIRESUN;YAGLIDERE;13627
KUTAHYA;DOMANIC;13531
SAMSUN;SALIPAZARI;13492
EDIRNE;MERIC;13462
CANKIRI;SABANOZU;13438
ADANA;YUMURTALIK;13422
NEVSEHIR;ACIGOL;13350
CORUM;KARGI;13339
SIVAS;DIVRIGI;13283
ADANA;TUFANBEYLI;13283
ELAZIG;PALU;13279
YOZGAT;SEFAATLI;13245
BATMAN;GERCUS;13200
ERZURUM;ISPIR;13192
ISPARTA;GELENDOST;13122
ADANA;FEKE;13052
ESKISEHIR;SEYITGAZI;12969
TEKIRDAG;MARMARAEREGLISI;12932
BALIKESIR;BALYA;12925
VAN;EDREMIT/VAN;12870
ORDU;GURGENTEPE;12691
BOLU;GOYNUK;12682
GUMUSHANE;SIRAN;12610
ERZURUM;KARACOBAN;12580
ISPARTA;KECIBORLU;12578
MUS;KORKUT;12546
CANKIRI;KURSUNLU;12504
GAZIANTEP;YAVUZELI;12471
KAYSERI;SARIOGLAN;12454
DUZCE;YIGILCA;12413
ORDU;IKIZCE;12373
KIRSEHIR;CICEKDAGI;12354
ADANA;ALADAG;12297
CANKIRI;KIZILIRMAK;12268
KAYSERI;YESILHISAR;12263
DIYARBAKIR;EGIL;12213
ESKISEHIR;CIFTELER;12108
TRABZON;TONYA;12002
MANISA;AHMETLI;11978
